Midnight Mass,"Wilson, F. Paul",5/04-- 9,9
Nightworld,"Wilson, F. Paul",11/12-- 9,9
Gateways,"Wilson, F. Paul",10/03-- 8.6,8.6
By the Sword,"Wilson, F. Paul",11/08-- 8.5,8.5
Ground Zero,"Wilson, F. Paul",11/09-- 8.5,8.5
Implant,"Wilson, F. Paul",11/95-- 8.5,8.5
Jack  Secret Vengeance,"Wilson, F. Paul",4/11-- 8.5,8.5
Select,"Wilson, F. Paul",5/94-- 8.5,8.5
Black Wind,"Wilson, F. Paul",5/94-- 8,8
Nightworld,"Wilson, F. Paul",5/94-- 8,8
Reborn,"Wilson, F. Paul",5/94-- 8,8
Reprisal,"Wilson, F. Paul",5/94-- 8,8
Sibs,"Wilson, F. Paul",6/94-- 8,8
Sims Book 2  The Portero Method,"Wilson, F. Paul",2/02-- 8,8
The Keep,"Wilson, F. Paul",5/94-- 8,8
The Tomb,"Wilson, F. Paul",5/94-- 8,8
Jack Secret Histories,"Wilson, F. Paul",7/08-- 7.9,7.9
Conspiracies,"Wilson, F. Paul",2/00-- 7.6,7.6
"Barrens and Others, The","Wilson, F. Paul",11/98-- 7.5,7.5
"Bone Yard, The","Wilson, F. Paul",11/97-- 7.5,7.5
Crisscross,"Wilson, F. Paul",11/04-- 7.5,7.5
Deep as the Marrow,"Wilson, F. Paul",5/97-- 7.5,7.5
Jack  Secret Circles,"Wilson, F. Paul",5/11-- 7.5,7.5
Sims,"Wilson, F. Paul",6/03-- 7.5,7.5
Sims  Bk 1  LaCausa,"Wilson, F. Paul",11/00-- 7.5,7.5
Sims  Book 3 Meerm,"Wilson, F. Paul",10/02-- 7.5,7.5
The Touch,"Wilson, F. Paul",5/94-- 7.5,7.5
Legacies,"Wilson, F. Paul",8/98-- 7,7
An Enemy of the State,"Wilson, F. Paul",5/94-- 6,6
Mirage,"Wilson, F. Paul & Matthew J. Costello",12/96-- 9.5,9.5
Masque,"Wilson, F. Paul & Matthew J. Costello",4/98-- 8.9,8.9
Nightkill,"Wilson, F. Paul & Steve Lyon",6/99-- 8.4,8.4
"Dark Clue, The","Wilson, James",11/01-- 5,5
The Disappearance of Lyndsey Barratt,"Wilson, John Morgan",3/98-- 8.3,8.3
"Limits of Justice, The","Wilson, John Morgan",7/00-- 7.4,7.4
Simple Justice,"Wilson, John Morgan",5/98-- 7,7
Blindeye,"Wilson, John Morgon",11/03-- 8,8
Telling Lies To Alice,"Wilson, Laura",5/04-- 7.3,7.3
"Company of Strangers, The","Wilson, Robert",12/01-- 7.1,7.1
"Vanished Hands, The","Wilson, Robert",3/05-- 7.1,7.1
"Hidden Assassins, the","Wilson, Robert",4/07-- 6,6
"Ignorance of Blood, The","Wilson, Robert",7/09-- 6,6
The Harvest,"Wilson, Robert Charles",7/94-- 8.5,8.5
"Small Death in Lisbon, A","Wilson, Robert Charles",11/00-- 7.9,7.9
Spin,"Wilson, Robert Charles",5/05-- 7.2,7.2
Blind Lake,"Wilson, Robert Charles",10/03-- 7,7
Axis,"Wilson, Robert Charles",11/07-- 6,6
Crooked Tree,"Wilson, Robert Charles",7/94-- 6,6
Darwinia,"Wilson, Robert Charles",6/98-- 6,6
Gypsies,"Wilson, Robert Charles",7/94-- 6,6
Bone Deep,"Wiltse, David",12/95-- 9.5,9.5
Close to the Bone,"Wiltse, David",12/95-- 9,9
"Edge of Sleep, The","Wiltse, David",12/95-- 9,9
"Fifth Angel, The","Wiltse, David",12/95-- 8.5,8.5
Blown Away,"Wiltse, David",1/97-- 8,8
Home Again,"Wiltse, David",1/96-- 7,7
Strawman's Hammock,"Wimberly, Darly",11/01-- 7,7
Pacific Nightmare,"Winchester, Simon",7/94-- 6.5,6.5
"Touch of Frost, A","Wingfield, R. D.",5/98-- 7.6,7.6
She Came By the Book,"Wings, Mary",8/96-- 8,8
"Death and Life of Bobby Z, The","Winslow, Don",9/97-- 9.5,9.5
"Winter of Frankie Machine, The","Winslow, Don",3/08-- 9,9
California Fire and Life,"Winslow, Don",7/99-- 8.8,8.8
"Power of the Dog, The","Winslow, Don",6/05-- 7.7,7.7
"Gentlemen's Hour, The","Winslow, Don",1/12-- 7.5,7.5
"Dawn Patrol, The","Winslow, Don",9/08-- 7,7
"King of Cool, The","Winslow, Don",9/12-- 7,7
"Twenty-Year Death, The","Winter, Ariel S",10/12-- 6,6
Run,"Winter, Douglas E.",4/00-- 7.5,7.5
Cassidy's Run,"Wise, David",3/00-- 7.2,7.2
All that Remains,"Wise, Robert L.",4/95-- 7,7
"Narrow Door at Colditz, The","Wise, Robert L.",11/04-- 7,7
About 80 Percent Luck,"Wojciechowski, Gene",6/01-- 6,6
No Strange Fire,"Wojtasi, Ted",3/97-- 7,7
Urth of the New Sun,"Wolf, Gene",no,
Horsemasters,"Wolf, Joan",11/93-- 8.5,8.5
"Reindeer Hunters, The","Wolf, Joan",1/95-- 8.5,8.5
Daughter of the Red Deer,"Wolf, Joan",3/94-- 7,7
Bicycling Maintenance & Repair,"Wolf, Ray",no,
Nightside The Long Sun Bk1 Long Sun,"Wolfe, Gene",3/94-- 8,8
"Knight, The","Wolfe, Gene",3/04-- 7.5,7.5
Pirate Freedom,"Wolfe, Gene",2/08-- 7.2,7.2
Calde of the Long Sun,"Wolfe, Gene",10/96-- 7,7
In Green's Jungle,"Wolfe, Gene",8/00-- 6,6
Lak of the Long Sun Bk2 Long Sun,"Wolfe, Gene",2/95-- 6,6
Soldier of Arete,"Wolfe, Gene",12/95-- 6,6
Soldier of the Mist,"Wolfe, Gene",12/95-- 6,6
Soldiers of Sidon,"Wolfe, Gene",3/07-- 6,6
Castleview,"Wolfe, Gene",no,
Claw of the Conciliator,"Wolfe, Gene",No,
Shadow of the Torturer,"Wolfe, Gene",No,
Sword of the Lictor,"Wolfe, Gene",no,
"Door In the River, A","Wolfe, Inger Ash",1/13-- 8,8
Hooking Up,"Wolfe, Tom",11/00-- 7.2,7.2
"Man in Full, A","Wolfe, Tom",2/99-- 7.2,7.2
"Cigarette Girl, The","Wolper, Carol",1/00-- 7.2,7.2
"Good News, Bad News","Wolstencroft, David",10/04-- 7.6,7.6
Beyond the Gate Bk2 Golden Queen,"Wolverton, Dave",10/97-- 8,8
"Golden Queen, The","Wolverton, Dave",10/97-- 7.5,7.5
Lords of the Seventh Swarm,"Wolverton, Dave",4/99-- 7,7
Star Wars The Courtship of Princess Leia,"Wolverton, Dave",5/94-- 7,7
"Very Strange Trip, A","Wolverton, Dave & L. Ron Hubbard",7/99-- 8,8
Elected for Death,"Wolzien, Valerie",11/97-- 6,6
Perfect Harmony,"Wood, Barbara",4/98-- 8,8
Soul Flame,"Wood, Barbara",2/98-- 8,8
Sacred Ground,"Wood, Barbara",9/01-- 7.8,7.8
Star of Babylon,"Wood, Barbara",8/05-- 7.8,7.8
"Prophetess, The","Wood, Barbara",4/96-- 7.5,7.5
"Blessing Stone, The","Wood, Barbara",3/03-- 7.3,7.3
"Dreaming, The","Wood, Barbara",4/95-- 6,6
Amy Girl,"Wood, Bari",2/97-- 6,6
"Basement, The","Wood, Bari",7/95-- 6,6
Doll's Eyes,"Wood, Bari",3/97-- 6,6
Fool's Joust,"Wood, Crystal",7/98-- 6,6
Cut Him Out In Little Stars,"Wood, Crystal",11/94-- 5,5
Kingdom of silence ,"Wood, Lee",4/09-- 7.4,7.4
Fugitive,"Wood, William P.",11/97-- 7.5,7.5
Pressure Point,"Wood, William P.",12/04-- 7,7
Quicksand,"Wood, William P.",2/01-- 6,6
Stormy Weather,"Woods, Paula",7/01-- 7,7
Put Out the Light,"Woods, Sara",11/97-- 6,6
White Lightning,"Woods, Sherryl",3/98-- 6.5,6.5
Hot Schemes,"Woods, Sherryl",11/97-- 6,6
Choke,"Woods, Stuart",10/95-- 9.5,9.5
Short Straw,"Woods, Stuart",10/06-- 9.5,9.5
Swimming to Catalina,"Woods, Stuart",6/98-- 9.5,9.5
Worst Fears Realized,"Woods, Stuart",8/99-- 9.5,9.5
L. A. Dead,"Woods, Stuart",11/00-- 9.4,9.4
Orchid Beach,"Woods, Stuart",1/99-- 9.3,9.3
Cold Paradise,"Woods, Stuart",5/01-- 9.2,9.2
Dark Harbor,"Woods, Stuart",5/06-- 9.2,9.2
Two Dollar Bill,"Woods, Stuart",4/05-- 9.2,9.2
Bel-Air Dead,"Woods, Stuart",5/11-- 9,9
Blood Orchid,"Woods, Stuart",10/02-- 9,9
Dead in the Water,"Woods, Stuart",8/97-- 9,9
Dirt,"Woods, Stuart",12/96-- 9,9
Fresh Disasters,"Woods, Stuart",4/07-- 9,9
Heat,"Woods, Stuart",1/97-- 9,9
Hot Mahogany,"Woods, Stuart",10/08-- 9,9
Hothouse Orchids,"Woods, Stuart",11/09-- 9,9
Imperfect Strangers,"Woods, Stuart",2/95-- 9,9
Orchid Blues,"Woods, Stuart",10/01-- 9,9
"Prince of Beverly Hills, The","Woods, Stuart",10/04-- 9,9
Reckless Abandon,"Woods, Stuart",4/04-- 9,9
"Short Forever, The","Woods, Stuart",5/02-- 9,9
Dirty Work,"Woods, Stuart",5/03-- 8.9,8.9
Capital Crimes,"Woods, Stuart",11/03-- 8.5,8.5
Chiefs,"Woods, Stuart",1/97-- 8.5,8.5
Loitering With Intent,"Woods, Stuart",7/09-- 8.5,8.5
Santa Fe Edge,"Woods, Stuart",10/10-- 8.5,8.5
Santa Fe Rules,"Woods, Stuart",7/94-- 8.5,8.5
Strategic Moves,"Woods, Stuart",3/11-- 8.5,8.5
Shoot Him If He Runs,"Woods, Stuart",10/07-- 8.4,8.4
"Run, The","Woods, Stuart",5/00-- 8.2,8.2
Iron Orchid,"Woods, Stuart",12/05-- 8.1,8.1
Beverly Hills Dead,"Woods, Stuart",1/08-- 8,8
D.C. Dead,"Woods, Stuart",1/12-- 8,8
Dead Eyes,"Woods, Stuart",7/94-- 8,8
Grass Roots,"Woods, Stuart",7/94-- 8,8
Kisser,"Woods, Stuart",2/10-- 8,8
L.A. Times,"Woods, Stuart",5/95-- 8,8
New York Dead,"Woods, Stuart",5/95-- 8,8
Palindrome,"Woods, Stuart",2/95-- 8,8
Santa Fe Dead,"Woods, Stuart",5/08-- 8,8
Severe Clear,"Woods, Stuart",10/12-- 8,8
Son Of Stone,"Woods, Stuart",10/11-- 8,8
Unnatural Acts,"Woods, Stuart",5/12-- 8,8
White Cargo,"Woods, Stuart",7/94-- 8,8
D.C. Dead,"Woods, Stuart",1/12-- 8,8
Severe Clear,"Woods, Stuart",10/12-- 8,8
Unnatural Acts,"Woods, Stuart",5/12-- 8,8
Deep Lie,"Woods, Stuart",1/97-- 7,7
Run Before the Wind,"Woods, Stuart",1/97-- 7,7
Under the Lake,"Woods, Stuart",1/97-- 7,7
Alibi,"Woods, Teri",8/09-- 7.6,7.6
True to the Grave,"Woods, Terri",8/02-- 7.2,7.2
There Are Doors,"Woodsman, Thomas A. Easton",no,
Read Between the Lines,"Woolridge, Lori Bryant",6/99-- 7.5,7.5
Burrows,"Wortham, Reavis Z.",8/12-- 8,8
Burrows,"Wortham, Reavis Z.",8/12-- 8,8
Wanted,"Wozencraft, Kim",11/04-- 8,8
"Catch, The","Wozencrzft, Kim",10/98-- 7,7
Magician's Ward,"Wrede, Patricia C.",2/98-- 6.8,6.8
While I Disappear,"Wright, Edward",7/04-- 6.5,6.5
Death By Degrees,"Wright, Eric",9/01-- 7.4,7.4
Death on the Rocks,"Wright, Eric",9/01-- 7.4,7.4
"Last Hand, The","Wright, Eric",3/02-- 6,6
Mother Love,"Wright, Laurali R.",12/95-- 5,5
God's Favorite,"Wright, Lawrence",2/00-- 8,8
Mad Season,"Wright, Nancy Means",10/96-- 7,7
The School,"Wright, T.M.",6/94-- 7,7
A Manhattan Ghost Story,"Wright, T.M.",6/94-- 6,6
Curse of the Mistwraith Vol1 Wars of Light and Shadow,"Wurts, Janny",5/95-- 6,6
"Cure, The","Wydra, Frank T.",11/99-- 8,8
Chrysalids,"Wyndham, John",8/94-- 5,5
No Other Option,"Wynne, Marcus",9/01-- 8.5,8.5
Brothers In Arms,"Wynne, Marcus",4/04-- 8,8
Soul Mountain,"Xingjian, Gao",3/01-- 6.5,6.5
Lying on the Couch,"Yalom, Irvin D.",6/96-- 6.5,6.5
An Hour To Kill,"Yapalater, Karin",10/04-- 7.9,7.9
"Feast in Exile, A","Yarbo, Chelsea Quinn",11/01-- 6.5,6.5
Better in the Dark,"Yarbro, Chelsea Quinn",2/94-- 7,7
Blood Roses,"Yarbro, Chelsea Quinn",10/98-- 7,7
Darker Jewels,"Yarbro, Chelsea Quinn",9/93-- 7,7
Roman Dusk,"Yarbro, Chelsea Quinn",1/07-- 7,7
Writ in Blood,"Yarbro, Chelsea Quinn",10/97-- 7,7
Communion Blood,"Yarbro, Chelsea Quinn",10/99-- 6.5,6.5
Flame in Byzantum,"Yarbro, Chelsea Quinn",no,
Out of the House of Fire,"Yarbro, Chelsea Quinn",no,
Midnight Harvest,"Yarbro, Quinn",11/03-- 6,6
Visible Spirits,"Yarbrough, Steve",3/02-- 7,7
Open Heart,"Yehoshua, A.B.",5/96-- 8,8
Don't Die Before You're Dead,"Yentushenko, Yevgeny",12/95-- 6,6
Dr. Neruda's Cure for Evil,"Yglesias, Rafael",6/96-- 7,7
"One - Armed Queen, The","Yolen, Jane",12/98-- 7,7
"Price of Guilt, The","Yorke, Margaret",5/00-- 7.9,7.9
Act of Violence,"Yorke, Margaret",8/98-- 7.1,7.1
"Case to Answer, A","Yorke, Margaret",6/02-- 6,6
False Pretences,"Yorke, Margaret",5/99-- 6,6
"Wolf Pit, The","Youmans, Marly",11/01-- 5,5
"Bridge, The","Young, Janine Ellen",7/01-- 7.5,7.5
Armed Memory,"Young, Jim",8/95-- 6,6
"Renegades, The","Young, Tom",11/12-- 8,8
"Renegades, The","Young, Tom",11/12-- 8,8
Money To Burn,"Zagel, James",11/03-- 7.5,7.5
"Icarus Hunt, The","Zahn, Timothy",8/99-- 7.1,7.1
Vision of the Future,"Zahn, Timothy",1/99-- 7,7
Specter of the Past  Star Wars,"Zahn, Timothy",4/98-- 6.5,6.5
Conqueror's Heritage,"Zahn, Timothy",12/95-- 6,6
Star Wars Dark Force Rising,"Zahn, Timothy",Yes,
Godchild,"Zandri, Vincent",7/01-- 7.2,7.2
As Catch Can,"Zandri, Vincet",1/99-- 7.4,7.4
Nine Princes of Amber,"Zelazny, Roger",yes,9
Prince of Choas,"Zelazny, Roger",yes,9
Prince of Shadows,"Zelazny, Roger",Yes,9
Sign of Chaos,"Zelazny, Roger",No,9
Sign of the Unicorn,"Zelazny, Roger",yes,9
Trumps of Doom,"Zelazny, Roger",yes,9
A Night in the Lonesome October,"Zelazny, Roger",9/93-- 8.5,8.5
Knight of Shadows Amber Series,"Zelazny, Roger",3/95-- 7,7
Dilvish the Damned,"Zelazny, Roger",10/94-- 6,6
Blood of Amber,"Zelazny, Roger",yes,
Courts of Choas,"Zelazny, Roger",yes,
Eye of the Cat,"Zelazny, Roger",No,
Guns of Avalon,"Zelazny, Roger",yes,
Donnerjack,"Zelazny, Roger & Jane Lindskold",9/97-- 7,7
Lord Demon,"Zelazny, Roger & Jane Lindskold",9/99-- 6,6
Bring Me the Head of Prince Charming,"Zelazny, Roger & Robert Sheckley",92--- 8.5,8.5
If at Faust You Don't Succeed,"Zelazny, Roger & Robert Sheckley",4/93-- 8,8
Flare,"Zelazny, Roger & Thomas T. Thomas",5/93-- 6,6
"Pinocchio Syndrome, The","Zeman, David",7/03-- 8.3,8.3
Playing God,"Zettel, Sarah",12/98-- 7.2,7.2
"Quiet Invasion, The","Zettel, Sarah",4/00-- 7,7
Magic Time,"Zicree, Marc Scott, & Barbara Hambly",12/01-- 7.5,7.5
Pariah,"Zigal, Thomas",3/01-- 9,9
Into Thin Air,"Zigal, Thomas",3/01-- 7.5,7.5
Into Thin Air,"Zigal, Thomas",10/95-- 7,7
Dating Big Bird,"Zigman, Laura",4/00-- 7.3,7.3
Last Kabbalist of Lisbon,"Zimler, Richard",3/01-- 6.5,6.5
Crimson Green,"Zimmerman, Bruce",6/95-- 7.5,7.5
"Silver Sword, The","Zindell, David",8/07-- 7.3,7.3
"Fourth Circle, The","Zircokovic, Zoran",5/04-- 7,7
Dark Revelations,"Zuiker, Anthony E & Duane Swierczynski",7/12-- 8,8
Level 26,"Zuiker, Anthony E. & Duane Swierczynski",2/10-- 8,8
